Date,ABEV3.SA,B3SA3.SA,BBAS3.SA,BRFS3.SA,CMIG4.SA,CRFB3.SA,CSNA3.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MRFG3.SA,PETR3.SA,PETR4.SA,RAPT4.SA,VALE3.SA
2023-01-02,13.35898208618164,11.546403884887695,14.188541412353516,7.925472736358643,6.562790393829346,13.755880355834961,12.160834312438965,21.236713409423828,16.006677627563477,16.377756118774414,7.123520374298096,17.204851150512695,14.654097557067871,7.4032063484191895,72.56438446044922
2023-01-03,13.340153694152832,11.159952163696289,13.924051284790039,7.527207851409912,6.406390190124512,13.658802032470703,12.020390510559082,20.79446029663086,16.158361434936523,15.988012313842773,6.978663921356201,16.961605072021484,14.283269882202148,7.301665782928467,72.43449401855469
2023-01-04,13.4154691696167,11.24478530883789,14.103222846984863,7.6765570640563965,6.48459005355835,13.969450950622559,12.111265182495117,20.855161666870117,16.222232818603516,16.089685440063477,7.114999294281006,17.244298934936523,14.737211227416992,7.237049579620361,72.56438446044922
2023-01-05,13.453126907348633,11.59353256225586,14.747380256652832,8.343650817871094,6.54474401473999,14.260682106018066,12.912625312805176,21.505529403686523,16.341978073120117,15.843976020812988,7.217251300811768,17.803110122680664,15.267882347106934,7.338589191436768,73.78189849853516
2023-01-06,13.481369018554688,11.866876602172852,14.952144622802734,8.602523803710938,6.54474401473999,14.357760429382324,13.441356658935547,21.8784122467041,16.222232818603516,16.428590774536133,7.200209140777588,17.691349029541016,15.178370475769043,7.320127487182617,74.95072174072266
2023-01-09,13.556683540344238,11.706640243530273,14.807103157043457,8.652305603027344,6.713174343109131,14.192728996276855,13.499186515808105,22.034502029418945,16.29408073425293,16.470956802368164,7.106478691101074,17.8096866607666,15.261489868164062,7.458591461181641,75.03189086914062
2023-01-10,13.688485145568848,12.121367454528809,15.058793067932129,9.02070140838623,6.749267578125,14.270390510559082,14.14357852935791,22.459407806396484,16.166345596313477,16.962371826171875,7.310981273651123,17.914871215820312,15.402148246765137,7.587825298309326,75.95720672607422
2023-01-11,13.453126907348633,12.677480697631836,15.27209186553955,8.423303604125977,7.025976181030273,14.105359077453613,14.168363571166992,22.84963035583496,15.823060035705566,17.64019203186035,7.362107276916504,18.14497184753418,15.523626327514648,7.735519886016846,75.68934631347656
2023-01-12,13.274253845214844,12.60207462310791,15.173972129821777,8.522870063781738,6.959805965423584,13.979158401489258,13.986611366271973,22.52878189086914,15.902896881103516,17.996042251586914,7.362107276916504,18.243587493896484,15.747400283813477,7.753981590270996,76.08707427978516
2023-01-13,13.067137718200684,12.40413761138916,15.208104133605957,7.965299129486084,6.869574069976807,14.328638076782227,13.95356559753418,22.41604995727539,15.85499095916748,17.064044952392578,7.132041931152344,18.204139709472656,15.709039688110352,7.633979320526123,76.15200805664062
2023-01-16,12.426960945129395,12.206198692321777,15.19104290008545,7.537164688110352,6.803406715393066,14.959640502929688,13.722246170043945,22.173242568969727,15.894908905029297,16.716663360595703,6.867891788482666,17.750516891479492,15.370182037353516,7.310897350311279,74.87767028808594
2023-01-17,13.048308372497559,12.262754440307617,16.082622528076172,7.80599308013916,7.007929801940918,14.784900665283203,13.862689971923828,22.632837295532227,16.126428604125977,16.894590377807617,7.072394371032715,18.9996280670166,16.316434860229492,7.301665782928467,74.78026580810547
2023-01-18,12.972993850708008,12.328731536865234,16.312984466552734,7.895602703094482,7.03800630569458,14.901394844055176,14.300545692443848,23.040393829345703,16.158361434936523,17.496152877807617,7.012747764587402,18.756378173828125,16.02872085571289,7.27397346496582,75.76239013671875
2023-01-19,12.841193199157715,12.225049018859863,16.68412208557129,7.686513423919678,7.025976181030273,14.571331977844238,14.383159637451172,23.040393829345703,16.030628204345703,17.623245239257812,7.046832084655762,19.39408302307129,16.552989959716797,7.292435169219971,76.08707427978516
2023-01-20,12.73763370513916,12.036539077758789,17.093652725219727,7.8657331466674805,6.839497089385986,14.280098915100098,14.73013973236084,22.632837295532227,15.663390159606934,17.411428451538086,6.978663921356201,19.61103057861328,16.859886169433594,7.3662824630737305,76.28999328613281
2023-01-23,12.634077072143555,11.923428535461426,16.965673446655273,7.756209850311279,6.737236499786377,15.085841178894043,14.829277992248535,21.939109802246094,15.52767562866211,17.275861740112305,7.174645900726318,20.064659118652344,17.128414154052734,7.283203601837158,76.54161834716797
2023-01-24,12.812949180603027,12.102516174316406,16.880355834960938,7.985212802886963,6.863559722900391,15.668306350708008,14.564910888671875,22.1385555267334,15.623477935791016,18.038408279418945,7.157603740692139,19.913450241088867,17.00693702697754,7.375513076782227,77.3532943725586
2023-01-25,12.90709400177002,12.357008934020996,17.34107780456543,8.104692459106445,7.05003547668457,15.804216384887695,14.548388481140137,22.216602325439453,15.455827713012695,18.41120719909668,7.140562534332275,19.99891471862793,17.224319458007812,7.560131072998047,78.08381652832031
2023-01-26,12.935336112976074,12.366434097290039,17.332544326782227,8.16443157196045,6.851528167724609,15.629476547241211,15.192780494689941,22.086530685424805,15.383973121643066,18.495935440063477,7.072394371032715,19.44010353088379,16.783161163330078,7.726288795471191,79.54483795166016
2023-01-27,12.850606918334961,11.97998332977295,17.14057731628418,7.736296653747559,6.737236499786377,15.445029258728027,15.03581428527832,21.618261337280273,15.336071968078613,18.012989044189453,6.8423285484313965,18.9996280670166,16.380367279052734,7.670902729034424,77.3695297241211
