Date,AAPL,AMGN,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-01-03,123.63252258300781,243.5007781982422,142.45147705078125,195.38999938964844,229.55105590820312,44.44624328613281,158.73715209960938,87.88431549072266,326.03045654296875,298.1170654296875,129.28636169433594,25.775142669677734,166.3037109375,126.70985412597656,58.78236770629883,250.91375732421875,104.34091186523438,235.24000549316406,114.67711639404297,45.458900451660156,143.35276794433594,178.92532348632812,500.9302673339844,203.85223388671875,33.88559341430664,32.070892333984375,46.461524963378906
2023-01-04,124.90770721435547,246.0507354736328,145.76296997070312,203.63999938964844,231.9342041015625,44.4369010925293,157.04931640625,90.85758209228516,327.4241638183594,301.721923828125,130.2454071044922,26.691207885742188,168.11428833007812,127.89142608642578,58.754356384277344,250.97073364257812,105.22339630126953,224.9498748779297,117.05274200439453,44.456783294677734,143.9769287109375,179.03048706054688,487.27313232421875,208.98321533203125,34.738651275634766,32.329593658447266,46.51328659057617
2023-01-05,123.58309173583984,248.34942626953125,142.27484130859375,204.99000549316406,230.89637756347656,43.810768127441406,159.8775634765625,90.79830169677734,323.7138671875,297.7018127441406,128.88449096679688,26.57549285888672,166.87301635742188,127.86309051513672,58.0820198059082,248.8538818359375,106.6879653930664,218.28286743164062,116.48298645019531,44.03997802734375,142.1894073486328,179.33645629882812,473.2295837402344,207.50880432128906,35.22007369995117,30.346189498901367,46.35475158691406
2023-01-06,128.13021850585938,256.1108703613281,145.9087371826172,213.0,239.14129638671875,45.15648651123047,161.0818328857422,92.7739028930664,327.78192138671875,299.64581298828125,131.25009155273438,27.703702926635742,168.22628784179688,130.309814453125,59.20258331298828,255.79290771484375,107.81454467773438,220.8553924560547,120.25887298583984,45.157379150390625,145.57533264160156,185.37969970703125,473.2682189941406,214.03553771972656,35.633934020996094,31.57072639465332,47.49040222167969
2023-01-09,128.6541290283203,251.3832550048828,146.1321563720703,208.57000732421875,236.98880004882812,45.39946746826172,159.82281494140625,93.613525390625,332.4151306152344,299.9100036621094,131.1130828857422,28.262983322143555,163.8677978515625,129.77133178710938,58.464881896972656,253.6855926513672,103.62740325927734,223.0057373046875,120.5678939819336,42.913700103759766,143.7972412109375,180.83775329589844,473.3262023925781,214.8710479736328,35.490665435791016,31.346511840820312,46.898311614990234
2023-01-10,129.22747802734375,254.88247680664062,147.68679809570312,206.69000244140625,240.72686767578125,45.61440658569336,160.60740661621094,94.39389038085938,336.5208435058594,302.57122802734375,132.25479125976562,28.388334274291992,163.475830078125,130.93331909179688,58.01666259765625,255.2613067626953,104.0311050415039,224.7043914794922,121.52393341064453,42.23084259033203,143.65538024902344,182.84576416015625,469.4048156738281,217.3185577392578,35.98823928833008,31.64833641052246,46.86919021606445
2023-01-11,131.9557647705078,253.97975158691406,149.5522918701172,208.02999877929688,240.93824768066406,45.98822021484375,159.84104919433594,95.15449523925781,343.22564697265625,310.46978759765625,132.6749267578125,28.78369140625,163.21450805664062,131.90634155273438,57.904605865478516,255.16639709472656,104.27519226074219,231.49905395507812,123.55192565917969,42.080081939697266,142.4920654296875,183.23779296875,476.5521240234375,218.31134033203125,35.327667236328125,32.01052474975586,47.28009796142578
2023-01-12,131.87667846679688,252.12779235839844,150.52392578125,214.32000732421875,245.10879516601562,45.79196548461914,161.55625915527344,98.59202575683594,348.3671875,311.2907409667969,132.93980407714844,29.207975387573242,162.39320373535156,131.77407836914062,57.15756607055664,253.15399169921875,104.9323501586914,234.18942260742188,123.50363159179688,42.3106575012207,141.68812561035156,183.58203125,478.74462890625,219.80538940429688,35.868133544921875,31.613842010498047,46.85301971435547
2023-01-13,133.21115112304688,252.8816375732422,151.340087890625,214.1300048828125,248.3663787841797,45.679832458496094,161.99417114257812,98.1870346069336,352.1905212402344,312.5552978515625,133.25035095214844,29.03440284729004,161.86122131347656,135.09938049316406,57.363006591796875,255.24237060546875,105.38299560546875,234.8963623046875,124.43071746826172,42.43480682373047,142.70016479492188,185.42752075195312,472.85296630859375,219.25497436523438,35.91102981567383,31.717327117919922,47.00831985473633
2023-01-17,134.3776092529297,250.73187255859375,149.3871307373047,211.41000366210938,246.25233459472656,44.93220138549805,164.6673126220703,98.69080352783203,329.51470947265625,309.0825500488281,132.6110076904297,28.542621612548828,160.86257934570312,133.01162719726562,57.5964469909668,260.1973571777344,103.693115234375,235.99607849121094,123.74506378173828,40.86513137817383,142.28399658203125,176.89813232421875,468.5162048339844,219.19598388671875,35.0445671081543,31.329267501831055,46.72359848022461
2023-01-18,133.656005859375,246.0507354736328,146.15164184570312,209.41000366210938,242.9466552734375,43.8294563293457,161.69309997558594,97.83142852783203,328.7331237792969,305.4588317871094,128.24513244628906,27.780841827392578,158.43603515625,129.01559448242188,55.850257873535156,252.53697204589844,102.1346664428711,231.53831481933594,122.09369659423828,39.907344818115234,138.47247314453125,175.58816528320312,459.97808837890625,215.7163848876953,34.28963088989258,30.708375930786133,45.56853103637695
2023-01-19,133.7152862548828,243.8544464111328,142.6829071044922,207.08999633789062,237.2789764404297,43.41826248168945,163.30795288085938,97.87094116210938,330.2962951660156,293.370361328125,128.43695068359375,27.404773712158203,158.22137451171875,127.2962875366211,55.76621627807617,250.20184326171875,103.17676544189453,227.7285919189453,120.25887298583984,39.87187576293945,135.54405212402344,175.98019409179688,467.8207702636719,216.65016174316406,34.36684036254883,30.535900115966797,44.91819381713867
