Date,ABX.TO,BMO.TO,BNS.TO,CM.TO,CNR.TO,CP.TO,ENB.TO,GIL.TO,KXS.TO,MFC.TO,RY.TO,SHOP.TO,SU.TO,T.TO,TD.TO,TRP.TO
2023-01-03,23.39278793334961,111.72042083740234,52.86915969848633,49.07520294189453,155.40000915527344,100.73180389404297,45.65807342529297,35.832881927490234,154.66000366210938,21.795869827270508,117.15226745605469,48.790000915527344,37.28171157836914,22.80317497253418,77.51403045654297,44.105308532714844
2023-01-04,24.429481506347656,113.30028533935547,53.858585357666016,49.588985443115234,155.56219482421875,101.71589660644531,45.90634536743164,36.042259216308594,153.89999389648438,22.04649543762207,118.1954116821289,50.61000061035156,36.28825378417969,23.080415725708008,78.52197265625,43.914981842041016
2023-01-05,24.477476119995117,113.09381866455078,53.94779586791992,49.47383117675781,153.1483917236328,99.60009765625,46.0518913269043,36.67040252685547,148.25,21.876426696777344,117.84770202636719,48.83000183105469,37.146244049072266,23.054426193237305,77.23487854003906,43.302642822265625
2023-01-06,24.59266471862793,114.7813720703125,54.49115753173828,50.1027717590332,156.8883819580078,102.56221008300781,46.62550735473633,37.136756896972656,145.9199981689453,22.09125518798828,119.34835052490234,49.560001373291016,38.07647705078125,23.409639358520508,77.19913482666016,44.88315200805664
2023-01-09,24.391084671020508,114.64673614501953,54.572261810302734,50.33308792114258,157.24139404296875,102.3752212524414,46.9850959777832,37.422279357910156,149.2100067138672,22.06439781188965,120.23594665527344,49.810001373291016,38.10356903076172,23.357654571533203,76.95777893066406,45.3382682800293
2023-01-10,25.0150203704834,114.58390808105469,54.831783294677734,50.4305305480957,155.6480712890625,101.00733947753906,47.1220703125,37.2509651184082,152.0,22.171812057495117,121.60848236083984,49.0099983215332,37.62490463256836,23.383651733398438,76.868408203125,45.321720123291016
2023-01-11,24.765445709228516,115.81368255615234,54.937217712402344,50.731712341308594,156.78343200683594,102.1489028930664,47.49877166748047,38.83084487915039,150.0,22.54775619506836,121.48954010009766,48.91999816894531,38.049381256103516,23.574249267578125,77.2795639038086,46.18231201171875
2023-01-12,24.947826385498047,116.693359375,55.602237701416016,51.24549865722656,156.99331665039062,102.5228500366211,47.98677444458008,39.52561569213867,140.5,22.673070907592773,122.11178588867188,49.11000061035156,38.979610443115234,24.111412048339844,78.8348159790039,46.72845458984375
2023-01-13,25.245399475097656,117.75257110595703,56.11316680908203,51.821292877197266,158.0332489013672,104.2745361328125,47.8754768371582,39.582725524902344,141.6999969482422,22.726776123046875,122.87126159667969,52.09000015258789,39.214439392089844,24.388652801513672,79.40685272216797,47.42354965209961
2023-01-16,25.053417205810547,118.26422882080078,56.42945861816406,51.892154693603516,158.36720275878906,103.85137939453125,47.73849105834961,39.7635498046875,142.0,22.726776123046875,123.24642181396484,52.15999984741211,39.33184051513672,24.509946823120117,79.63924407958984,47.50629425048828
2023-01-17,24.112716674804688,118.49761962890625,56.486228942871094,52.16676712036133,158.9968719482422,105.68180084228516,47.798423767089844,39.65885925292969,140.24000549316406,22.78943634033203,123.80460357666016,53.529998779296875,39.77438735961914,24.735204696655273,80.39899444580078,47.72971725463867
2023-01-18,23.853540420532227,117.88722229003906,56.13749694824219,51.72385025024414,158.23362731933594,104.0481948852539,47.61863708496094,39.56368637084961,146.5399932861328,22.592512130737305,123.1366195678711,52.88999938964844,39.467315673828125,24.587919235229492,79.57666778564453,47.77109146118164
2023-01-19,24.208703994750977,117.9141616821289,55.92662811279297,51.36065673828125,156.27774047851562,103.14282989501953,47.721370697021484,39.430442810058594,147.3000030517578,22.494049072265625,123.04509735107422,51.290000915527344,40.271114349365234,24.457965850830078,79.16552734375,47.9200439453125
2023-01-20,24.3334903717041,118.74894714355469,56.11316680908203,51.590980529785156,157.4417266845703,104.35326385498047,47.96109390258789,39.430442810058594,150.13999938964844,22.825241088867188,123.26473236083984,54.15999984741211,39.909854888916016,24.665895462036133,79.71075439453125,48.01106262207031
2023-01-23,24.659860610961914,119.59274291992188,56.45378875732422,51.98959732055664,157.72796630859375,104.94371032714844,47.95253372192383,38.74518585205078,147.16000366210938,22.887897491455078,123.28302001953125,58.90999984741211,40.686561584472656,24.674560546875,80.13085174560547,48.143470764160156
2023-01-24,24.909435272216797,119.61966705322266,56.29969787597656,51.70613098144531,158.29083251953125,105.23893737792969,47.5587043762207,38.74518585205078,146.0,23.040067672729492,123.6398696899414,57.09000015258789,40.442710876464844,24.70921516418457,80.32748413085938,47.52284622192383
2023-01-25,25.41817855834961,119.81714630126953,56.85928726196289,51.72385025024414,150.9063262939453,101.32225036621094,46.38579177856445,38.73567199707031,143.3300018310547,23.29964828491211,123.35343933105469,63.34000015258789,40.05435562133789,24.674560546875,80.54199981689453,47.431819915771484
2023-01-26,25.159006118774414,121.39700317382812,57.7432746887207,52.0693244934082,150.6582489013672,100.8302001953125,46.40291213989258,38.65953826904297,148.66000366210938,23.756153106689453,125.31244659423828,64.41999816894531,41.625823974609375,24.735204696655273,81.13191223144531,47.62215042114258
2023-01-27,25.139808654785156,121.17021179199219,57.556739807128906,52.6805534362793,150.27659606933594,101.4797134399414,46.57414627075195,38.45966720581055,149.1999969482422,23.407058715820312,124.42535400390625,66.66000366210938,41.625823974609375,24.605247497558594,81.71289825439453,47.74626922607422
2023-01-30,25.0150203704834,120.27203369140625,57.62163543701172,52.89314651489258,150.028564453125,101.91270446777344,46.46284484863281,39.08781814575195,148.0,23.371257781982422,124.81346893310547,63.209999084472656,41.12909698486328,24.752532958984375,81.02466583251953,46.99325180053711
