Date,A2A.MI,BMPS.MI,BPE.MI,ENEL.MI,ENI.MI,EXXRF,FCAU.VI,ISP.MI,MB.MI,PIRC.MI,SPM.MI,STM,TRN.MI,UNI.MI
2023-01-02,1.1397324800491333,1.9531922340393066,1.6828579902648926,4.389659881591797,11.78239631652832,,11.734652519226074,1.7752925157546997,7.802927494049072,3.7717528343200684,1.184000015258789,,6.421618461608887,4.094921588897705
2023-01-03,1.1496315002441406,1.9165102243423462,1.7047579288482666,4.499168395996094,11.849438667297363,72.50904846191406,11.705439567565918,1.8166853189468384,7.882302284240723,3.941476821899414,1.1805000305175781,34.7999382019043,6.436287879943848,4.169698715209961
2023-01-04,1.1757287979125977,1.965578317642212,1.749416470527649,4.657912254333496,11.668938636779785,76.66654968261719,12.190016746520996,1.8635138273239136,8.011719703674316,4.07983922958374,1.1445000171661377,35.93204879760742,6.62882661819458,4.244475364685059
2023-01-05,1.1608803272247314,1.8927862644195557,1.7434048652648926,4.650272369384766,11.696441650390625,72.31106567382812,12.160804748535156,1.8522247076034546,7.9979143142700195,4.096442699432373,1.1490000486373901,35.53826904296875,6.500467777252197,4.185722351074219
2023-01-06,1.1766287088394165,1.892024040222168,1.7889221906661987,4.7546868324279785,11.894133567810059,76.32009887695312,12.399657249450684,1.8676948547363281,7.992738246917725,4.198830604553223,1.2204999923706055,37.51699447631836,6.639828681945801,4.245365619659424
2023-01-09,1.1905772686004639,2.1132588386535645,1.7975103855133057,4.752988815307617,11.985243797302246,76.32009887695312,12.51822280883789,1.8635138273239136,8.072112083435059,4.198830604553223,1.2604999542236328,38.95427322387695,6.6324944496154785,4.224891185760498
2023-01-10,1.1991263628005981,2.0394186973571777,1.812110424041748,4.699507713317871,12.011029243469238,77.21099090576172,12.643662452697754,1.8814923763275146,8.116976737976074,4.1877617835998535,1.246999979019165,39.53509521484375,6.65083122253418,4.201745510101318
2023-01-11,1.2423218488693237,2.066572666168213,1.8112516403198242,4.7793049812316895,12.239662170410156,77.64654541015625,12.543998718261719,1.8894366025924683,8.241216659545898,4.210822105407715,1.1959999799728394,39.88949203491211,6.694839954376221,4.196404933929443
2023-01-12,1.2477214336395264,2.0970616340637207,1.8215575218200684,4.844669818878174,12.39094066619873,77.63169860839844,12.729580879211426,1.9099239110946655,8.348200798034668,4.2846150398254395,1.1959999799728394,40.12575149536133,6.784691333770752,4.204416275024414
2023-01-13,1.2526708841323853,2.101348876953125,1.8808159828186035,4.862497329711914,12.396099090576172,77.63169860839844,12.195172309875488,1.9132689237594604,8.337846755981445,4.251408100128174,1.2044999599456787,40.499839782714844,6.71684455871582,4.233793258666992
2023-01-16,1.2549207210540771,2.0398950576782227,1.9014277458190918,4.930408954620361,12.315301895141602,,12.305146217346191,1.9107602834701538,8.31714153289795,4.280003070831299,1.2365000247955322,,6.771855354309082,4.24981689453125
2023-01-17,1.2598700523376465,1.9913033246994019,1.8722279071807861,4.88966178894043,12.353121757507324,77.95340728759766,12.27937126159668,1.8906906843185425,8.332671165466309,4.324279308319092,1.225000023841858,41.080657958984375,6.836034774780273,4.2524871826171875
2023-01-18,1.2652696371078491,1.975582480430603,1.9340630769729614,4.893057346343994,12.428760528564453,77.35948181152344,12.257033348083496,1.8814923763275146,8.23949146270752,4.353796005249023,1.3114999532699585,41.6319465637207,6.7626872062683105,4.25426721572876
2023-01-19,1.2256736755371094,1.9255616664886475,1.9323452711105347,4.802225589752197,12.251696586608887,76.46857452392578,11.971785545349121,1.858914852142334,8.141134262084961,4.234805107116699,1.2680000066757202,40.09622573852539,6.68750524520874,4.207086563110352
2023-01-20,1.2031760215759277,1.9322313070297241,1.9692744016647339,4.79628324508667,12.425321578979492,76.46857452392578,12.011307716369629,1.8233752250671387,8.265374183654785,4.184994697570801,1.3765000104904175,41.139732360839844,6.694839954376221,4.2524871826171875
2023-01-23,1.2355726957321167,2.037036657333374,1.9812978506088257,4.81036376953125,12.37718677520752,78.20087432861328,12.061141014099121,1.8727123737335205,8.303335189819336,4.245873928070068,1.3865000009536743,42.32105255126953,6.724179267883301,4.266730785369873
2023-01-24,1.2450217008590698,2.017028331756592,2.009639024734497,4.836765289306641,12.188094139099121,75.52819061279297,12.040519714355469,1.911178469657898,8.355103492736816,4.222813606262207,1.340000033378601,41.77961349487305,6.751684188842773,4.258718490600586
2023-01-25,1.258520245552063,2.0051186084747314,2.0139331817626953,4.820924758911133,12.098701477050781,77.01301574707031,11.978659629821777,1.9191224575042725,8.405143737792969,4.214511394500732,1.315999984741211,42.6557731628418,6.753518104553223,4.299667835235596
2023-01-26,1.2589702606201172,2.0761003494262695,2.0560154914855957,4.825324535369873,12.203563690185547,77.01301574707031,12.071451187133789,1.9588427543640137,8.512127876281738,4.281848430633545,1.3320000171661377,45.96348571777344,6.698507785797119,4.3406171798706055
2023-01-27,1.2661694288253784,2.081340789794922,2.087791681289673,4.827085018157959,12.284358978271484,77.06250762939453,12.200326919555664,1.965950608253479,8.543187141418457,4.2283477783203125,1.3919999599456787,47.04637145996094,6.680170059204102,4.322813034057617
2023-01-30,1.2490712404251099,2.210442066192627,2.086932897567749,4.781322002410889,12.179496765136719,77.06250762939453,12.037083625793457,1.9600971937179565,8.574247360229492,4.196986198425293,1.4079999923706055,46.19975662231445,6.698507785797119,4.30856990814209
2023-01-31,1.2409720420837402,2.334303140640259,2.1616501808166504,4.744359970092773,12.150273323059082,77.06250762939453,12.356697082519531,2.0152876377105713,8.503499031066895,4.2301926612854,1.4049999713897705,46.485233306884766,6.648997783660889,4.2729620933532715
