Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0007.HK,0011.HK,0012.HK,0016.HK,0017.HK,0070.HK,1072.HK,2208.HK,600941.SS
2023-03-02,42.6631,50.2376,6.6011,16.9998,51.6826,36.5494,0.188,110.9778,23.9786,95.9274,20.4787,0.07,12.5723,6.9303,77.6414
2023-03-03,42.6188,50.3707,6.4847,16.9618,51.4608,36.8092,0.186,111.064,24.1505,95.5708,20.8545,0.069,12.3142,6.8568,79.6299
2023-03-06,43.2397,51.3461,6.5026,16.9808,51.5939,36.9824,0.19,111.064,24.2364,97.1755,20.9014,0.068,12.9409,6.9946,82.104
2023-03-07,43.5944,51.7009,6.5205,16.7529,51.8157,37.1123,0.184,109.7512,24.1934,98.0671,21.2302,0.068,12.7935,6.866,79.1351
2023-03-08,42.7962,51.2131,6.4489,16.316,51.4164,36.8525,0.19,108.6134,23.9786,96.1283,20.8075,0.068,12.6829,6.8384,81.1419
2023-03-09,43.0179,51.0801,6.3951,16.43,51.9488,36.7226,0.192,108.1758,24.1505,94.6854,20.8545,0.068,12.517,6.5443,83.0295
2023-03-10,42.1309,50.4098,6.3324,17.6076,50.0412,36.4627,0.288,103.6247,23.5918,92.0703,20.2439,0.07,12.1483,6.3604,81.9208
2023-03-13,43.2397,50.6815,6.3414,17.1328,49.9524,36.9391,0.29,104.2373,23.8497,94.1444,20.7135,0.07,12.4432,6.4064,90.1128
2023-03-14,43.151,51.7232,6.413,16.468,47.6012,37.5887,0.248,102.5744,23.8067,95.5872,20.4317,0.062,12.4432,6.2134,89.957
2023-03-15,43.5057,51.8138,6.431,16.9618,48.9765,37.632,0.252,103.1871,23.6348,94.4149,20.2974,0.063,12.7566,6.3512,90.9284
2023-03-16,42.4857,51.9497,6.4489,16.9428,47.823,37.1123,0.254,101.1741,23.5059,93.6935,20.2494,0.063,12.2773,6.1582,91.6889
2023-03-17,43.284,51.995,6.4578,17.2847,47.7343,36.9391,0.252,102.837,23.5918,95.497,20.6333,0.063,11.9824,6.2409,92.6419
2023-03-20,43.2397,51.8591,6.3593,16.6769,44.762,36.7226,0.252,99.7738,22.9472,94.2346,20.2014,0.063,11.8902,6.0755,84.2666
2023-03-21,42.7075,51.4515,6.2249,17.2087,46.0485,35.8998,0.256,98.9861,22.8613,95.0462,20.2014,0.063,12.0745,6.1582,83.9367
2023-03-22,43.5944,51.3156,6.2518,17.5696,47.4681,35.8998,0.25,100.649,22.9472,95.7676,20.6812,0.063,11.9271,6.195,84.3582
2023-03-23,43.151,51.6327,6.2608,17.4747,47.6456,36.073,0.236,100.649,23.291,96.2184,20.5853,0.063,11.798,6.2501,85.2929
2023-03-24,43.0179,51.0892,6.216,17.3037,46.2703,36.2895,0.24,99.3362,23.2051,96.6693,20.5373,0.064,11.7427,6.2777,83.2586
2023-03-27,43.0623,50.7268,6.1354,17.1707,45.8267,36.1163,0.24,97.2357,23.1191,97.4809,20.2014,0.059,11.8164,6.2593,80.5921
2023-03-28,43.3727,51.0892,6.1712,17.1518,46.714,36.2895,0.244,98.5485,23.248,98.2023,20.3933,0.059,12.0377,6.2318,81.0594
2023-03-29,43.1953,51.3156,6.2249,17.0948,46.9801,36.4194,0.24,98.636,23.334,98.7434,20.3454,0.062,11.7611,6.1858,81.3709
2023-03-30,43.1066,51.4515,6.207,17.3037,47.7343,36.3761,0.238,98.636,23.248,99.7353,20.2974,0.062,11.8164,6.2226,79.1167
2023-03-31,43.1953,51.3609,6.1891,17.0568,47.2019,36.4627,0.238,97.7608,23.334,99.1943,20.2014,0.062,11.6874,6.1674,82.4431
2023-04-03,43.4614,51.3609,6.1354,17.0188,48.0892,36.5494,0.24,98.1109,23.248,97.8416,20.2974,0.062,11.5215,6.1766,84.963
2023-04-04,44.0379,51.678,6.1354,16.9238,48.4885,36.4627,0.234,98.1109,23.291,98.3827,20.2974,0.062,11.3372,6.1398,89.059
2023-04-06,44.304,51.678,6.1085,17.0568,48.0892,37.3288,0.232,98.2859,23.5918,98.9237,20.0095,0.062,10.7841,5.9468,89.059
2023-04-07,44.4075,51.8289,6.1205,17.1336,48.2667,37.3288,0.222,98.5485,23.6348,99.1041,20.2494,0.062,10.9193,6.002,88.4451
