Date,ALFA.ST,ASSA-B.ST,ATCO-A.ST,AXFO.ST,CAST.ST,ERIC-B.ST,HM-B.ST,KINV-B.ST,LIAB.ST,NWG.ST,SAAB-B.ST,SAND.ST,SWED-A.ST,TEL2-B.ST,VOLV-B.ST
2023-01-02,294.6282653808594,217.93106079101562,120.98725891113281,264.29736328125,110.46588134765625,56.1253662109375,107.01254272460938,149.1999969482422,123.72770690917969,137.07420349121094,102.23716735839844,183.76837158203125,145.5885467529297,75.5621337890625,174.60255432128906
2023-01-03,294.4345703125,219.28045654296875,122.40310668945312,267.248291015625,110.46588134765625,56.29597854614258,107.3809814453125,151.0,127.89616394042969,136.70521545410156,102.26171875,183.91127014160156,145.9120635986328,76.66026306152344,175.84010314941406
2023-01-04,297.1464538574219,223.6178741455078,125.31238555908203,266.5105895996094,110.88590240478516,57.24787139892578,111.65484619140625,152.4499969482422,128.55934143066406,141.5018768310547,99.24103546142578,183.76837158203125,147.2870635986328,77.49694061279297,175.16673278808594
2023-01-05,301.1174621582031,219.37686157226562,127.03855895996094,265.8650817871094,109.54183197021484,57.26582717895508,117.23666381835938,151.35000610351562,131.0225372314453,142.97779846191406,101.50040435791016,188.96038818359375,148.1767578125,78.76937866210938,175.6217041015625
2023-01-09,312.5461730957031,226.50949096679688,129.92843627929688,269.27716064453125,112.39798736572266,57.75074768066406,118.8577880859375,155.6999969482422,136.42257690429688,145.74510192871094,103.047607421875,195.48611450195312,152.66575622558594,79.90238189697266,179.60733032226562
2023-01-10,313.7083740234375,227.85890197753906,127.60102081298828,270.8448791503906,112.94401550292969,56.92458724975586,117.56826782226562,155.60000610351562,136.2331085205078,147.40548706054688,102.9248046875,193.39024353027344,153.75767517089844,79.27487182617188,177.51441955566406
2023-01-11,318.2605285644531,231.71438598632812,129.715087890625,262.8218994140625,116.01017761230469,56.88866424560547,119.96311950683594,163.5,139.54891967773438,147.03651428222656,100.86190032958984,194.81924438476562,154.8900146484375,80.1638412475586,180.97227478027344
2023-01-12,315.258056640625,236.72653198242188,129.77330017089844,253.87669372558594,117.60626220703125,60.27415466308594,121.16053009033203,166.60000610351562,140.59103393554688,151.64869689941406,101.30393981933594,198.72515869140625,153.71722412109375,82.34268951416016,182.94686889648438
2023-01-13,311.8681945800781,236.63014221191406,129.57933044433594,252.21676635742188,120.12639617919922,57.59809112548828,119.61309814453125,168.35000610351562,141.06471252441406,153.4935760498047,100.7636489868164,199.58255004882812,151.2503204345703,82.06378936767578,181.77301025390625
2023-01-16,317.00140380859375,237.593994140625,127.83377075195312,253.96893310546875,124.53663635253906,57.74177169799805,120.73682403564453,170.0,144.38055419921875,154.416015625,102.26171875,201.39259338378906,152.01869201660156,82.48213195800781,182.94686889648438
