Date,ALFA.ST,ASSA-B.ST,ATCO-A.ST,AXFO.ST,CAST.ST,ERIC-B.ST,HM-B.ST,KINV-B.ST,LIAB.ST,NWG.ST,SAAB-B.ST,SAND.ST,SWED-A.ST,TEL2-B.ST,VOLV-B.ST
2023-02-24,328.527,244.7266,119.6102,231.8365,109.6258,52.0305,115.5787,153.7,135.2857,149.2504,144.5024,202.5358,172.2798,82.2381,186.7232
2023-02-27,331.3358,246.6544,120.0951,234.4187,111.5159,52.5064,120.4421,154.95,138.2226,154.2315,146.2215,203.9648,177.0518,83.1794,188.0426
2023-02-28,334.1445,245.8833,120.9097,231.191,112.44,52.1741,121.6211,156.15,137.7489,155.8919,148.4318,205.5843,172.9268,83.9637,190.909
2023-03-01,337.5344,244.5339,120.1145,226.7646,107.7777,51.6892,120.571,152.7,136.991,156.4454,148.8738,207.4896,169.6106,82.395,191.6824
2023-03-02,336.7596,245.4977,118.175,229.07,108.4078,51.9047,121.5842,153.35,138.5068,157.5523,148.5791,207.2991,170.8239,82.4996,193.7753
2023-03-03,343.055,250.7027,121.5109,228.8856,110.1719,54.1497,122.6895,159.25,139.5489,162.5335,150.9367,211.9671,172.5224,83.7371,198.1886
2023-03-06,345.5732,249.6424,122.4419,227.5945,111.4319,53.7277,124.9002,160.8,140.4963,160.6886,152.9505,213.1103,173.0886,84.9399,199.2806
2023-03-07,343.3456,249.4496,120.6575,230.2688,109.0378,53.5571,123.0948,159.0,139.2647,159.2127,154.3258,209.2044,171.7945,84.0857,197.5972
2023-03-08,344.6046,250.8954,120.8321,229.07,107.8197,53.6738,124.0712,159.45,139.3595,154.6005,152.9014,209.395,173.4121,85.5499,196.6872
2023-03-09,342.2802,252.3412,120.7545,229.07,103.5775,54.2934,125.0291,157.5,140.7805,154.047,153.6873,205.6796,170.8239,85.8985,196.0047
2023-03-10,335.2099,246.0761,119.3775,225.6579,100.8054,52.9195,121.8421,144.75,142.1068,153.6781,150.5929,198.1536,160.9967,85.0444,191.1365
2023-03-13,331.9169,242.4133,118.2719,222.6147,104.2076,52.8925,122.3948,146.45,139.7384,150.1728,148.5791,194.3429,156.0628,85.0619,183.9933
2023-03-14,344.9921,246.2688,121.6467,221.9692,105.6776,52.0125,123.7212,147.3,143.8121,152.9401,154.1785,200.821,157.9636,85.1316,187.9971
2023-03-15,329.0113,237.4976,115.9057,225.2891,101.7294,50.5128,113.2391,140.3,141.0647,149.4349,147.1547,189.6272,149.8753,85.2885,178.0422
2023-03-16,336.2753,245.305,118.9508,222.4303,102.2334,50.5487,115.4866,142.1,146.2753,153.1246,147.6459,193.9619,147.2062,85.149,180.7539
2023-03-17,324.2654,239.8109,116.8755,216.1594,100.3433,50.0548,113.0365,138.2,140.2121,149.9883,142.9798,191.0086,141.5849,87.0141,178.57
2023-03-20,335.3068,242.5097,119.8235,222.5225,99.7553,50.2524,112.7786,141.6,140.7805,149.9883,144.8953,194.6287,143.9709,87.415,180.0077
2023-03-21,337.4375,243.4736,120.0757,232.3898,97.0252,50.423,114.6945,145.7,143.6227,149.9883,148.2844,196.7246,147.4488,85.9683,185.2218
2023-03-22,338.9872,238.5579,120.5994,231.2832,95.3451,50.6296,115.0076,145.75,140.1173,147.7745,148.7265,197.2009,146.7613,85.5674,185.5402
2023-03-23,341.4085,235.0879,123.4505,229.361,95.7231,50.414,114.1602,147.0,142.9595,150.3573,150.7403,196.8198,142.0701,86.9967,183.5838
2023-03-24,329.5923,226.4131,116.313,231.1426,93.245,50.5667,111.6364,142.15,136.6121,146.6675,151.9682,190.8181,140.4121,85.7242,179.3889
2023-03-27,336.1784,229.883,119.5132,225.2351,93.833,51.4647,112.3917,145.6,139.5489,147.4055,153.6382,193.295,138.3091,87.1361,182.1734
2023-03-28,340.44,232.0036,120.4248,224.86,91.9009,51.1324,112.2812,144.6,139.7384,145.5606,154.5714,196.534,138.5922,86.5958,184.4938
2023-03-29,345.3795,234.9916,121.5303,229.8298,94.9671,51.8149,113.1655,148.85,141.0647,147.959,154.5714,203.2979,140.776,88.6352,186.2682
2023-03-30,347.704,238.1723,123.6638,235.5498,100.7634,55.1712,131.6241,152.0,145.8016,150.1728,155.1117,206.7275,144.6988,87.7636,191.5915
2023-03-31,358.0673,239.329,127.5622,237.4252,101.1414,55.7229,136.1559,154.5,150.2543,150.1728,154.9643,209.395,145.5543,89.9861,194.5943
2023-04-03,356.2271,234.4132,126.6022,236.9563,100.7214,55.4286,135.0874,152.7,146.749,145.3761,154.3749,209.1092,144.7844,89.1145,194.0938
