Date,BBAR,BMA,CRES.BA,GGAL,HARG.BA,MIRG.BA,PAMP.BA,TECO2.BA,TS,YPF
2023-01-02,,,181.79364013671875,,229.99685668945312,5549.3427734375,457.0,383.8999938964844,,
2023-01-03,2.944474935531616,12.869344711303711,167.1427459716797,8.177474975585938,229.99685668945312,5357.12548828125,433.0,363.5,31.117691040039062,8.710000038146973
2023-01-04,3.09608793258667,13.447283744812012,175.27362060546875,8.468608856201172,229.99685668945312,5292.220703125,438.0,368.6499938964844,29.72602081298828,8.710000038146973
2023-01-05,3.271639108657837,14.334545135498047,180.259521484375,9.042316436767578,229.99685668945312,5501.91259765625,451.0,374.0,30.496076583862305,9.350000381469727
2023-01-06,3.3434555530548096,14.741546630859375,180.5663299560547,9.504709243774414,229.99685668945312,5392.07421875,458.95001220703125,373.0,30.7187442779541,9.449999809265137
2023-01-09,3.3913333415985107,15.14040470123291,180.259521484375,9.761590003967285,229.99685668945312,5402.0595703125,452.6499938964844,373.79998779296875,31.377466201782227,9.75
2023-01-10,3.3514349460601807,15.262504577636719,176.5009002685547,9.915722846984863,229.99685668945312,5328.16796875,452.75,368.5,31.999080657958984,9.720000267028809
2023-01-11,3.62274169921875,16.133487701416016,180.259521484375,10.609307289123535,229.99685668945312,5388.080078125,484.5,395.5,32.045467376708984,9.869999885559082
2023-01-12,3.694558620452881,16.8905029296875,182.56069946289062,11.003196716308594,229.99685668945312,5501.91259765625,487.0,410.0,32.55574417114258,10.350000381469727
2023-01-13,3.718496799468994,16.735843658447266,187.7000274658203,11.165888786315918,229.99685668945312,5651.6923828125,487.0,428.0,32.592857360839844,11.079999923706055
2023-01-16,,,195.6007537841797,,229.99685668945312,5841.41357421875,503.0,445.0,,
2023-01-17,3.925966739654541,18.04638671875,204.80548095703125,11.782411575317383,229.99685668945312,5854.39453125,508.79998779296875,472.0,33.362911224365234,12.220000267028809
2023-01-18,3.5668845176696777,17.028886795043945,182.10044860839844,10.617870330810547,279.28192138671875,5488.931640625,471.0,419.0,33.22374725341797,11.210000038146973
2023-01-19,3.6466808319091797,17.41146469116211,185.59060668945312,11.03744888305664,279.28192138671875,5258.27099609375,472.5,415.0,32.963966369628906,11.220000267028809
2023-01-20,3.8142523765563965,18.461524963378906,192.1490020751953,11.773850440979004,279.28192138671875,5389.07861328125,498.0,443.0,33.047462463378906,11.920000076293945
2023-01-23,3.742435932159424,17.84288787841797,194.06661987304688,11.628281593322754,279.28192138671875,5422.0302734375,497.29998779296875,456.3500061035156,32.35163497924805,11.979999542236328
2023-01-24,3.718496799468994,17.785907745361328,196.7513427734375,11.585466384887695,279.28192138671875,5464.966796875,502.0,466.0,32.24030303955078,12.0
2023-01-25,3.8222320079803467,18.518505096435547,200.203125,12.030733108520508,279.28192138671875,5485.93603515625,519.0,493.29998779296875,32.611412048339844,12.079999923706055
2023-01-26,3.830212354660034,18.4045467376709,207.8737335205078,11.902292251586914,279.28192138671875,5481.94189453125,517.0,499.8999938964844,32.963966369628906,12.020000457763672
2023-01-27,3.694558620452881,17.639387130737305,209.79141235351562,11.39947509765625,293.2460021972656,5316.185546875,504.0,487.3500061035156,32.84335708618164,11.539999961853027
2023-01-30,3.5509254932403564,16.96376609802246,194.8336944580078,10.874271392822266,293.2460021972656,5244.29150390625,480.5,461.0,32.629966735839844,11.149999618530273
2023-01-31,3.710517644882202,17.88358497619629,194.910400390625,11.537232398986816,293.2460021972656,5302.2060546875,498.0,473.8999938964844,32.88974380493164,11.949999809265137
2023-02-01,3.614762306213379,17.533565521240234,197.90194702148438,11.339205741882324,293.2460021972656,5282.2353515625,498.70001220703125,471.5,32.184635162353516,11.75
2023-02-02,3.606782913208008,17.769628524780273,192.53250122070312,11.304764747619629,293.2460021972656,5282.2353515625,491.5,459.1499938964844,30.6909122467041,11.470000267028809
2023-02-03,3.4232518672943115,16.76026725769043,185.51388549804688,10.615974426269531,293.2460021972656,5183.380859375,475.5,427.0,30.394018173217773,11.180000305175781
2023-02-06,3.487088441848755,16.996326446533203,182.56069946289062,10.951761245727539,293.2460021972656,5262.2646484375,478.3999938964844,427.3999938964844,30.34762954711914,11.479999542236328
2023-02-07,3.4711294174194336,16.874225616455078,183.90304565429688,11.003419876098633,279.6926574707031,5275.24560546875,480.70001220703125,436.5,30.7929630279541,11.539999961853027
2023-02-08,3.5349652767181396,16.996326446533203,182.94422912597656,11.167009353637695,279.6926574707031,5320.1796875,492.5,455.5,31.089855194091797,11.550000190734863
2023-02-09,3.4631497859954834,16.467226028442383,177.26797485351562,10.934541702270508,279.6926574707031,5345.64208984375,479.0,435.0,30.85791015625,11.279999732971191
2023-02-10,3.487088441848755,16.613746643066406,179.7225799560547,10.986202239990234,279.6926574707031,5393.57177734375,484.95001220703125,435.5,31.980520248413086,11.579999923706055
2023-02-13,3.694558620452881,17.37076759338379,194.8336944580078,11.666379928588867,279.6926574707031,5456.978515625,503.5,451.5,31.71146583557129,12.029999732971191
2023-02-14,3.7663745880126953,17.680086135864258,203.2713623046875,11.984947204589844,279.6926574707031,5498.41796875,502.8999938964844,440.8500061035156,32.37946701049805,12.09000015258789
2023-02-15,3.702537775039673,17.444028854370117,199.97300720214844,11.907458305358887,279.6926574707031,5486.435546875,505.5,430.8999938964844,31.980520248413086,11.880000114440918
2023-02-16,3.8621301651000977,17.435884475708008,198.8991241455078,12.01077651977539,279.6926574707031,5676.65576171875,505.25,447.5,34.021629333496094,11.890000343322754
