Date,4503.T,4523.T,4578.T,4661.T,6758.T,6762.T,6954.T,7203.T,7974.T,8035.T,8053.T,8306.T,8308.T,8316.T,9432.T,9984.T
2023-02-13,1733.6798,6979.916,3953.5195,4245.1499,2320.2278,901.7267,4343.8833,1741.922,4934.2773,14906.1895,2130.5676,890.9145,699.6783,1824.9917,142.8535,5723.5312
2023-02-14,1746.8033,7024.8574,4037.4111,4308.6582,2334.0979,902.7154,4402.313,1747.4918,5032.5093,15112.9072,2150.9407,896.723,703.6282,1843.946,143.4456,5760.9531
2023-02-15,1748.161,7000.5146,4048.0186,4299.728,2319.2375,902.7154,4388.9028,1739.6014,5040.0659,15041.8467,2144.6025,904.5599,708.2363,1867.3232,143.7417,5702.8511
2023-02-16,1749.5186,7085.7153,4056.6965,4289.8042,2330.1348,913.5915,4408.0601,1775.8044,5193.0815,15177.5049,2133.2842,898.8436,700.6188,1868.9027,143.9267,5803.2988
2023-02-17,1744.0881,7139.0825,4025.8403,4284.8433,2274.6555,908.6478,4360.1675,1770.6989,5153.4106,14919.1094,2137.8115,904.4678,690.7443,1871.4299,143.8897,5676.2622
2023-02-20,1706.98,7313.2295,4015.2329,4262.019,2266.73,899.7492,4348.6729,1766.0574,5160.9668,14689.7842,2138.2642,920.418,708.9886,1895.439,146.9984,5641.7954
2023-02-21,1723.7239,7227.0923,4020.054,4194.5415,2248.8975,898.7604,4300.7803,1754.454,5111.8506,14651.0244,2159.9954,906.4962,708.8946,1873.0095,146.7393,5613.2363
2023-02-22,1711.0527,7101.6318,3982.448,4134.0093,2203.3247,876.0195,4227.9829,1731.2471,5017.3975,14402.3193,2150.9407,899.1202,705.8851,1876.8004,146.1842,5491.1235
2023-02-24,1725.0815,7053.8818,3996.9119,4135.9946,2249.8877,902.7154,4306.5273,1724.7489,5003.229,15429.4404,2142.3391,887.8719,698.1738,1847.7369,147.2945,5509.835
2023-02-27,1740.468,6963.063,3997.876,4172.7104,2258.8042,896.783,4432.9644,1723.8207,4909.7192,15138.7451,2134.1897,890.4536,703.3461,1869.5344,146.7764,5385.7529
2023-02-28,1736.8477,6883.48,3986.3049,4317.5894,2264.7488,901.7267,4438.7119,1728.9261,4839.8232,15087.0674,2103.4036,889.8081,705.227,1886.5935,146.0732,5433.022
2023-03-01,1729.6069,6856.3276,3974.7336,4306.6743,2265.739,920.5126,4531.6235,1729.8544,4837.9346,15364.8428,2137.3586,880.8649,694.412,1871.114,145.296,5435.9761
2023-03-02,1722.8187,6995.833,3970.8762,4307.666,2254.8416,910.6253,4529.708,1729.8544,4851.1577,15125.8262,2137.3586,871.9216,687.4528,1867.3232,145.0,5498.0171
2023-03-03,1730.512,7080.0972,3802.1287,4326.52,2287.5349,930.4,4600.5894,1749.3483,4871.9375,15222.7236,2192.5923,885.106,694.9763,1884.3821,147.5535,5471.4282
2023-03-06,1727.3441,6951.8276,3818.5215,4261.0273,2345.9861,955.1183,4659.9766,1768.8423,4890.8281,15697.5273,2205.7217,896.6308,705.6971,1913.1296,147.2575,5621.1152
2023-03-07,1735.4899,6946.21,3893.7346,4336.4434,2375.7073,942.2648,4653.272,1777.1969,4889.8838,15539.2588,2222.4727,906.4039,716.2299,1941.5613,147.7756,5639.8257
2023-03-08,1746.8033,7001.4507,3929.4126,4350.3359,2389.5771,959.0733,4638.9043,1770.6989,4871.9375,15516.6504,2241.4875,904.3755,717.5466,1941.5613,148.6268,5602.4038
2023-03-09,1751.7815,6970.5532,3932.3057,4444.6064,2382.6421,964.017,4688.7124,1781.8383,4937.1108,15710.4453,2241.4875,916.0847,745.7593,1972.8359,148.9969,5613.2363
2023-03-10,1724.1764,6898.4604,3898.5559,4390.0288,2318.2466,943.2535,4622.6201,1760.0237,4862.4927,15513.4189,2189.4231,859.9358,690.0861,1868.5868,147.5165,5261.6709
2023-03-13,1706.98,6827.3037,3865.7708,4350.3359,2299.4231,930.4,4523.0029,1730.3186,4844.5459,15397.1406,2151.8459,830.0635,658.6758,1790.8738,146.7023,5174.0254
2023-03-14,1701.0969,6972.4258,3807.9146,4346.3662,2236.0181,900.7379,4428.1748,1679.2632,4784.0952,15080.6064,2087.5581,758.7941,598.1121,1655.3499,145.4071,4963.2822
2023-03-15,1694.3087,6990.2148,3831.0569,4290.7964,2242.9529,896.783,4455.9531,1682.0479,4800.1533,15099.9854,2106.1201,794.2905,622.8454,1705.895,146.0732,4893.3638
2023-03-16,1672.1344,6905.0146,3797.3071,4289.8042,2226.1108,893.8168,4382.1978,1661.6256,4793.5405,15238.875,2015.1204,772.255,592.8459,1660.7203,148.2937,4822.4595
2023-03-17,1674.8495,7033.2842,3848.4138,4381.0981,2304.3765,896.783,4422.4277,1657.9125,4858.7144,15684.6064,2030.061,775.2976,599.4288,1661.0363,148.2567,4816.5508
2023-03-20,1658.5582,6767.3818,3778.0217,4310.6431,2290.5068,882.9407,4363.041,1640.2753,4753.8706,15277.6338,2015.5731,761.0068,577.5168,1633.2365,147.7386,4777.1597
2023-03-22,1688.8783,6848.8379,3816.5928,4378.1211,2324.1909,923.4788,4452.1216,1671.8368,4798.2632,15623.2373,2047.2649,784.4252,583.2534,1666.4066,149.663,4911.0894
2023-03-23,1668.0615,6730.8677,3825.271,4378.1211,2294.4697,929.4113,4422.4277,1658.8408,4794.4854,15859.0244,2056.3191,773.7302,573.0968,1648.0841,147.5906,4884.501
2023-03-24,1669.8717,6710.2695,3825.271,4374.1514,2297.4417,922.4901,4388.9028,1656.0559,4777.4839,16149.7168,2053.6028,765.2479,558.144,1639.2386,146.8874,4896.3179
2023-03-27,1689.3308,6837.6025,3874.4492,4343.3896,2268.7114,922.4901,4404.228,1661.6256,4812.4316,15745.9756,2082.125,761.1912,564.2568,1622.4957,147.8126,4881.5459
2023-03-28,1712.4104,6836.6665,3992.0903,4345.3745,2244.9343,927.4338,4418.5967,1676.014,4801.0977,15694.2959,2104.762,774.0989,587.2972,1665.7749,147.9606,4813.5967
2023-03-29,1726.4391,6978.98,4075.9822,4359.2666,2277.6279,930.4,4492.3516,1719.1792,4891.7734,15607.0889,2126.0405,778.1558,594.3505,1677.1475,149.7741,5110.9995
2023-03-30,1726.8988,7013.0513,4046.0896,4467.936,2325.1814,943.0,4545.0,1742.8333,4914.0259,15597.3506,2128.8247,777.6859,614.1462,1692.0297,149.3608,5027.9258
2023-03-31,1731.4966,7102.0156,4052.8401,4497.7354,2374.7166,945.0,4612.8354,1778.7874,4964.3369,15607.0811,2172.9146,796.8578,611.5641,1714.0292,148.8349,5124.8452
2023-04-03,1727.3586,7031.98,4064.4111,4481.8418,2383.6331,935.0,4644.8154,1794.8723,5004.9727,15285.9873,2200.2964,809.1691,629.1604,1735.3817,148.9476,5160.4478
2023-04-04,1767.3586,7092.5513,4134.8032,4519.5884,2380.6609,937.0,4590.5469,1796.7645,5236.2095,15378.4229,2204.9373,811.6127,637.8628,1755.1167,149.8116,5186.1606
2023-04-05,1741.6116,6964.7837,4073.0896,4501.7085,2340.0422,922.0,4439.3701,1752.7679,5074.6338,15354.0986,2120.4712,790.3732,623.9006,1728.2642,148.3842,5155.5029
2023-04-06,1770.577,7106.748,4125.1597,4483.8286,2289.5161,897.0,4315.3276,1728.1677,5079.4712,14658.3965,2112.1172,783.5126,616.4413,1711.7645,147.9709,5170.3374
2023-04-07,1746.6689,7125.6768,4090.4463,4583.1602,2300.4138,903.0,4365.7197,1721.5446,5029.1611,14984.3555,2122.7917,794.6022,623.9006,1729.8818,147.5953,5111.9878
2023-04-10,1764.1404,7184.3555,4132.8745,4705.3379,2313.293,902.0,4315.3276,1729.1139,5230.4043,14911.3779,2140.8916,800.3351,627.7259,1739.5875,147.5577,5043.749
2023-04-11,1770.1173,7157.855,4135.7671,4741.0977,2347.9675,919.0,4356.998,1727.6946,5237.1772,15461.1289,2209.1143,801.7448,618.0671,1748.3228,148.2715,5045.7271
2023-04-12,1770.1173,7183.4092,4178.1948,4823.543,2376.698,918.0,4381.2246,1725.3292,5288.4556,15514.6445,2268.5188,803.4364,626.6739,1761.5872,149.5487,5120.8892
2023-04-13,1784.8301,7207.0698,4254.3726,4811.623,2357.8748,917.0,4425.8027,1714.9214,5204.2817,15271.3926,2248.5627,799.4893,616.537,1753.499,149.5111,5071.4404
2023-04-14,1791.2668,7282.7837,4230.2656,4768.9106,2399.4844,908.0,4431.6172,1710.6637,5289.4229,14998.9502,2270.3755,796.9518,614.2419,1759.3224,149.8492,5063.5288
2023-04-17,1838.6233,7217.48,4242.8013,4757.9834,2404.438,927.0,4522.7114,1735.2639,5279.748,15067.0605,2260.165,817.4395,621.7967,1803.3218,149.1355,5115.9438
2023-04-18,1852.4164,7379.3203,4291.9795,4827.5161,2415.3352,939.0,4534.3398,1734.7909,5379.4028,14721.6416,2281.0498,825.2397,634.707,1828.5565,152.1407,5128.8008
2023-04-19,1848.7382,7297.9268,4298.7295,4897.0483,2439.1123,922.0,4502.3599,1724.8562,5361.9873,14721.6416,2289.8674,836.1415,647.1391,1850.5562,152.1407,5121.8779
2023-04-20,1839.083,7212.7485,4273.6577,4852.3486,2442.0845,929.0,4519.8037,1715.8677,5336.8315,14979.4893,2273.1602,833.0402,649.8168,1853.1445,151.164,5037.8154
2023-04-21,1835.8645,7299.8203,4287.1577,4752.0239,2435.1497,907.0,4498.4839,1704.9867,5340.7017,15169.2266,2279.1934,814.5261,640.3492,1820.145,150.7132,4940.896
2023-04-24,1850.1174,7335.7847,4323.8003,4759.9707,2434.1589,912.0,4488.793,1701.2021,5409.396,14877.3242,2266.1982,805.41,633.5594,1801.3806,151.765,4998.2563
2023-04-25,1854.2554,7223.1587,4364.2993,4750.0371,2439.1123,907.0,4450.0293,1703.0945,5465.5117,14906.5137,2266.6626,807.3835,636.9066,1823.0568,153.3804,4974.5215
2023-04-26,1829.4279,7216.5337,4378.7637,4720.2383,2405.4282,903.0,4354.0908,1706.4059,5435.5186,14848.1328,2239.7451,792.4407,621.988,1783.5868,153.418,4984.4106
2023-04-27,1821.6117,7337.6772,4377.7998,4758.9775,2490.6289,912.0,4424.8335,1726.7485,5445.1938,14789.752,2253.2036,808.3234,638.1497,1810.1157,153.9814,4893.4258
2023-04-28,1883.2211,7413.3916,4436.6201,4766.9238,2542.1458,929.0,4447.1226,1757.0258,5535.1729,15076.791,2252.7395,801.5568,645.2265,1795.2336,155.8597,5037.8154
