Date,4503.T,4523.T,4578.T,4661.T,6758.T,6762.T,6954.T,7203.T,7974.T,8035.T,8053.T,8306.T,8308.T,8316.T,9432.T,9984.T
2023-07-18,1852.876220703125,8510.3046875,5049.8076171875,5394.69970703125,2615.457763671875,1092.5999755859375,4581.8251953125,2119.40625,6153.4169921875,19839.67578125,2727.513427734375,1017.80517578125,687.304443359375,2072.493408203125,151.671142578125,6820.9296875
2023-07-19,1892.4163818359375,8688.2333984375,5114.04931640625,5419.53271484375,2626.355224609375,1094.0,4664.19677734375,2167.660888671875,6224.0458984375,20165.634765625,2767.426025390625,1019.6847534179688,685.6785888671875,2086.4052734375,152.6102752685547,6977.1865234375
2023-07-20,1903.9107666015625,8598.322265625,5051.7548828125,5370.85986328125,2590.690185546875,1074.5999755859375,4574.07275390625,2163.8759765625,6217.2734375,19898.056640625,2758.143798828125,1006.5275268554688,678.793212890625,2084.464111328125,153.64334106445312,6920.8154296875
2023-07-21,1910.347412109375,8548.162109375,5110.15625,5347.02001953125,2598.61572265625,1067.0,4576.0107421875,2164.349365234375,6209.533203125,18779.09375,2755.359375,1009.8168334960938,675.0635375976562,2058.58203125,155.05203247070312,6869.388671875
2023-07-24,1933.7957763671875,8616.3046875,5135.4638671875,5389.73291015625,2628.336669921875,1070.4000244140625,4600.23779296875,2198.884033203125,6299.5126953125,19231.544921875,2778.100341796875,989.6111450195312,662.8226318359375,2034.6412353515625,157.21206665039062,6950.484375
2023-07-25,1912.6463623046875,8512.1982421875,5105.28955078125,5389.73291015625,2606.54150390625,1083.5999755859375,4620.58837890625,2218.280517578125,6233.72119140625,19134.2421875,2798.520751953125,1006.5275268554688,673.2465209960938,2052.43505859375,153.07984924316406,6889.16796875
2023-07-26,1925.5198974609375,8454.46484375,5192.89208984375,5363.90673828125,2607.531982421875,1074.199951171875,4630.279296875,2196.99169921875,6095.3662109375,19323.978515625,2772.067138671875,1004.1780395507812,668.6561889648438,2045.64111328125,151.01373291015625,6951.47314453125
2023-07-27,1938.3935546875,8464.8759765625,5208.4658203125,5469.1982421875,2617.43896484375,1073.0,4633.1865234375,2195.572509765625,6168.89697265625,19849.404296875,2781.81298828125,1014.0458984375,671.3338623046875,2056.3173828125,151.01373291015625,7026.63525390625
2023-07-28,1912.6463623046875,8490.4287109375,5243.50732421875,5425.49267578125,2583.75537109375,1067.0,4544.03076171875,2185.6376953125,6147.6123046875,20345.640625,2780.885009765625,1067.6146240234375,726.5133666992188,2144.639404296875,150.82591247558594,7019.7119140625
2023-07-31,1913.10595703125,8495.162109375,5085.822265625,5413.57275390625,2638.244140625,1087.4000244140625,4213.57373046875,2257.546142578125,6240.49365234375,20671.59765625,2828.22314453125,1077.0125732421875,740.5711669921875,2165.668212890625,152.98594665527344,7162.1240234375
2023-08-01,1959.0830078125,8665.5185546875,5201.65283203125,5368.87353515625,2670.93701171875,1110.0,4089.53076171875,2313.843017578125,6249.201171875,21255.40625,2839.361328125,1064.7952880859375,714.1768798828125,2114.5517578125,152.42245483398438,7170.03564453125
2023-08-02,1891.496826171875,8685.39453125,5162.71826171875,5198.02294921875,2622.392822265625,1089.199951171875,4039.13818359375,2367.774169921875,6148.57958984375,20574.296875,2784.133544921875,1060.09619140625,694.0941772460938,2093.19921875,150.54417419433594,6905.98046875
2023-08-03,1849.197998046875,8621.037109375,5119.8896484375,5169.216796875,2562.950439453125,977.7999877929688,4005.220458984375,2277.888916015625,6150.5146484375,20345.640625,2744.220947265625,1056.806884765625,687.1131591796875,2090.287353515625,149.51112365722656,6852.57666015625
