Date,AZN.L,BARC.L,BHP.L,BP.L,CRH,DGE.L,HSBA.L,LLOY.L,MRO.L,NG.L,RIO.L,SGE.L,SHEL.L,TSCO.L,ULVR.L,VOD.L
2023-02-17,11479.5127,173.3104,2765.7908,559.4846,44.5447,3558.606,620.3615,50.8395,301.3487,1069.3632,6094.77,761.1305,2539.1841,250.7061,4232.208,102.3529
2023-02-20,11533.4834,175.6878,2852.7212,557.7858,44.3608,3567.1018,619.9621,51.4686,307.6421,1069.863,6268.5352,763.1297,2522.1965,251.0059,4207.228,102.7328
2023-02-21,11563.4648,171.2327,2748.8042,549.8916,44.1769,3576.5967,646.7302,50.8994,301.6634,1070.3627,6195.6343,752.7334,2483.7239,249.607,4235.2061,101.6331
2023-02-22,11493.5039,172.6311,2655.8784,538.9998,43.696,3608.5796,635.3438,51.189,298.9362,1069.863,5974.9316,753.1332,2447.7493,249.0075,4263.1851,100.4734
2023-02-23,11205.2549,172.4612,2600.9224,546.5941,44.2523,3585.5916,629.351,51.928,308.0617,1063.3668,5828.1299,748.9348,2480.2263,248.8076,4190.6157,98.9738
2023-02-24,11095.3018,170.4429,2509.9949,549.7919,43.6677,3603.5823,634.9443,51.5885,307.747,1054.8718,5659.3579,750.1343,2497.2144,246.7092,4188.6162,99.1537
2023-02-27,11093.3018,172.5012,2509.4954,557.7858,44.3749,3596.5859,631.0489,51.7183,317.292,1069.3632,5640.3838,754.9326,2534.6875,254.0036,4191.1152,100.6933
2023-02-28,10875.3955,174.4996,2525.4827,550.0915,44.6107,3527.1226,634.8444,52.5471,314.355,1047.3763,5704.2969,748.3349,2524.6948,254.803,4133.1553,99.7536
2023-03-01,10811.4229,174.2798,2624.4033,549.8916,44.7521,3518.6274,639.5388,51.8881,323.0608,1016.3948,5963.9463,751.3339,2562.1677,251.3057,4134.6533,100.0335
2023-03-02,10859.4023,171.6219,2683.856,560.7836,48.8633,3576.9097,618.4432,51.2689,326.9418,1025.8892,6009.8843,750.1343,2602.6389,253.9037,4185.6187,99.5736
2023-03-03,10779.4355,171.3421,2730.8186,554.888,48.7125,3574.9106,617.7438,51.7183,324.2147,1030.8861,6135.7148,761.7303,2578.1562,256.102,4142.6484,100.4534
2023-03-06,10737.4541,172.2015,2664.8713,558.9849,48.7313,3545.9236,617.2442,51.6983,329.1445,1033.3846,5963.9463,762.1301,2597.6426,259.6992,4104.1758,101.1932
2023-03-07,10845.4082,168.7842,2632.8967,558.0856,48.4673,3548.9224,623.7384,51.2789,341.8362,1030.3865,5886.0518,759.9308,2596.1436,258.8998,4117.6646,98.6739
2023-03-08,10817.4209,168.7442,2666.3699,557.9857,48.8351,3540.9258,630.1327,51.5285,346.0318,1043.3788,5951.9624,760.1308,2585.6509,260.2987,4121.1636,98.6939
2023-03-09,10861.4014,163.2886,2560.1692,556.5867,47.9581,3536.9275,620.5413,51.3887,346.1817,1042.879,5684.0947,769.9274,2571.1614,262.597,4109.1719,98.6739
2023-03-10,10693.4717,157.2935,2530.1846,548.7924,47.3075,3498.9443,592.067,49.7061,340.9365,1049.3752,5628.1528,761.1305,2542.6819,259.3994,4066.2009,98.5339
2023-03-13,10681.4775,147.3615,2496.7019,522.1122,46.11,3462.9604,567.5889,47.1596,324.8863,1063.3668,5542.2422,747.5352,2436.2581,254.803,4053.2097,95.6547
2023-03-14,10681.4775,151.9378,2506.6968,530.4061,47.3923,3481.9519,576.4811,48.1682,329.3971,1058.3699,5636.1445,752.9333,2467.7354,254.6031,4070.198,96.1545
2023-03-15,10639.4951,138.1289,2386.759,486.4388,45.431,3447.967,547.9067,45.9513,311.039,1047.8761,5328.4639,742.537,2257.8853,251.7054,4037.7202,93.9951
2023-03-16,10793.4287,142.2656,2353.7761,482.092,47.0883,3532.9294,557.5979,47.3993,319.2214,1057.3704,5275.519,752.9333,2207.4219,251.8053,4084.1885,92.6455
2023-03-17,10809.4229,139.4478,2356.2749,479.5938,46.3657,3473.4558,541.6122,46.186,309.0458,1038.3817,5244.5513,733.3403,2212.4185,246.7092,4044.7158,90.3461
2023-03-20,10785.4346,136.2504,2385.7595,486.6386,47.5219,3518.9355,541.2127,46.0412,310.1997,1053.3727,5354.4375,731.9408,2234.4021,249.5071,4079.6914,92.4455
2023-03-21,10899.3848,143.0249,2377.2642,503.0265,48.6107,3546.9229,553.5016,48.0933,321.3195,1041.3799,5334.458,743.7366,2308.8489,256.6016,4127.1592,92.6455
2023-03-22,10971.3535,142.5453,2370.2678,504.0257,48.4276,3602.3982,564.0922,47.6989,323.4176,1046.377,5313.4795,743.3367,2315.8438,258.7999,4199.6089,91.3558
2023-03-23,10993.3457,139.6676,2360.2729,498.33,47.599,3561.4165,547.7069,46.7851,335.3766,1055.3716,5282.5117,748.7348,2270.3765,253.6039,4169.6294,90.776
2023-03-24,11075.3105,133.7924,2370.7673,485.9391,46.3464,3597.4004,533.5197,45.6517,331.2853,1057.8701,5247.5483,749.9344,2198.9277,250.6062,4194.1123,88.5565
2023-03-27,11247.2383,136.8899,2360.2729,496.0316,46.5584,3581.4077,540.6132,46.2559,337.7894,1067.3645,5226.5698,749.5345,2230.9048,251.2058,4217.5967,89.0764
2023-03-28,11129.2871,137.0697,2409.2476,507.4232,47.3967,3549.4219,540.6132,46.3358,340.412,1069.863,5332.46,744.5363,2261.3828,254.703,4210.1011,88.9264
2023-03-29,11161.2734,141.9059,2455.7231,510.1212,47.7821,3557.4185,553.5016,47.0597,345.0277,1072.8612,5387.4033,748.3349,2296.3582,262.2972,4204.106,89.8062
2023-03-30,11161.2734,144.7036,2525.1873,512.8192,48.2542,3579.4084,554.8005,47.7039,354.469,1084.3544,5433.3555,767.928,2316.3438,264.6953,4189.6157,89.5163
2023-03-31,11227.2471,145.6828,2558.1702,510.421,49.0154,3612.394,549.2056,47.609,349.3287,1095.8474,5472.3145,774.7256,2306.8506,265.4947,4187.1182,89.2764
2023-04-03,11265.2305,148.1408,2518.1909,532.3047,49.0539,3607.896,555.8995,48.1682,349.6435,1091.3501,5399.3906,773.3261,2403.2815,263.896,4229.5884,89.4363
2023-04-04,11239.2412,146.3822,2428.7373,526.8089,48.4084,3610.3948,550.7043,48.0384,349.2239,1102.3436,5306.4868,779.5239,2357.3145,264.3956,4220.5942,87.4568
2023-04-05,11589.0928,147.6013,2411.2463,533.304,45.3829,3667.3696,553.7015,48.3629,343.7688,1128.3281,5277.5171,769.5274,2361.3115,263.6961,4285.5498,89.4263
2023-04-06,11695.0488,151.4981,2413.7451,531.5053,46.0284,3682.8625,562.3937,48.9521,336.7404,1139.3217,5289.5049,774.5257,2415.2729,263.896,4304.5371,91.4458
2023-04-10,11660.0635,151.9577,2465.4683,534.0534,46.2982,3670.1182,562.144,49.1568,341.0938,1140.321,5419.3699,774.9255,2422.0182,265.6946,4299.2908,91.7557
2023-04-11,11625.0781,152.4174,2517.1914,536.6015,45.9995,3657.3738,561.8942,49.3616,345.4473,1141.3204,5549.2349,775.3254,2428.7634,267.4932,4294.0444,92.0656
2023-04-12,11816.9971,152.937,2500.2002,539.1996,46.7896,3674.3665,561.0948,49.8109,350.273,1152.8136,5514.2715,783.3225,2443.7524,267.1934,4289.0479,91.9756
2023-04-13,11910.957,152.8171,2493.2039,538.3003,47.493,3682.3628,566.7897,48.4534,356.9867,1143.3192,5531.2534,791.9195,2446.7507,268.7922,4313.0308,91.7857
2023-04-14,11886.9668,157.7531,2466.2178,540.5986,47.4448,3676.3655,583.7745,48.8829,350.0631,1117.8344,5456.3315,788.9206,2460.2407,267.9928,4307.0352,91.9456
2023-04-17,11818.9961,154.156,2504.6978,543.3965,47.8013,3682.3628,577.58,48.3984,343.664,1117.8344,5545.2393,790.7199,2453.2456,271.8898,4354.0029,92.6855
2023-04-18,12034.9043,154.8354,2538.1804,544.096,48.1386,3645.3789,574.0832,48.773,344.2934,1115.8356,5603.1787,796.7178,2466.2366,273.1888,4331.5181,91.9856
2023-04-19,11986.9248,155.2751,2518.6904,535.0027,48.1675,3673.3667,572.8842,49.2026,339.7826,1122.8314,5524.2607,793.319,2455.7439,275.6868,4338.5137,90.766
2023-04-20,12004.917,154.3358,2467.2173,530.3062,48.0615,3697.3562,574.5827,48.9529,413.368,1129.8271,5436.3521,798.1173,2447.7493,274.3878,4358.999,89.7862
2023-04-21,12180.8418,153.1168,2353.7761,529.6067,47.6279,3758.8289,573.184,48.808,404.2697,1144.8184,5125.6748,805.7146,2451.2473,278.6845,4388.9785,90.636
2023-04-24,12158.8516,154.076,2362.272,533.5038,48.0037,3741.8362,572.7843,48.858,404.3197,1138.3221,5135.6646,804.1152,2459.741,277.8851,4384.9819,89.6563
2023-04-25,12288.7969,151.3383,2313.2974,528.9072,47.7435,3775.3215,565.7907,48.1787,406.5193,1152.8136,4979.3267,804.9149,2423.7671,278.085,4412.9619,91.2558
2023-04-26,11838.9873,153.7363,2344.2812,532.7044,46.5102,3722.845,571.1858,48.5483,403.7198,1141.3204,5031.772,802.5158,2432.2607,279.384,4368.4927,94.255
2023-04-27,11791.0088,161.9097,2351.2776,523.2114,46.8282,3713.3491,574.8824,48.768,404.3197,1142.3198,5038.7646,811.3126,2399.2844,278.4847,4428.4517,95.8746
2023-04-28,11741.0293,159.7515,2336.7852,534.0035,46.7318,3620.3904,573.2838,48.1487,408.9188,1143.819,5043.7598,818.3102,2450.2476,280.8828,4433.4478,95.8746
2023-05-01,11755.0229,157.2835,2319.5441,510.9955,46.5295,3624.8883,583.3248,47.889,409.4187,1142.3198,4976.8296,817.0106,2395.5367,280.7329,4436.9456,94.7699
2023-05-02,11769.0166,154.8154,2302.303,487.9876,46.2308,3629.3862,593.3658,47.6293,409.9186,1140.8207,4909.8994,815.7111,2340.8259,280.583,4440.4434,93.6652
2023-05-03,11878.9707,153.1368,2324.2915,486.7386,45.9321,3662.8716,592.6664,45.9311,420.4165,1142.8195,4949.3579,824.308,2323.8384,279.7837,4434.4473,96.1345
2023-05-04,11844.9844,148.1208,2300.304,476.1464,46.6933,3682.8625,583.4747,45.3067,414.9176,1154.8124,4864.9458,815.5112,2343.824,280.2833,4402.9683,94.495
2023-05-05,11916.9541,153.1168,2391.7563,491.9347,47.6954,3668.8687,599.2604,45.7612,422.5161,1149.8153,4986.8188,812.1124,2388.7917,282.7813,4395.9741,94.9948
2023-05-08,11912.9556,153.2867,2395.7543,490.0611,47.4834,3649.3773,599.0107,45.9211,423.4159,1151.0646,5004.3008,807.414,2382.5464,283.5807,4380.7346,94.6249
2023-05-09,11908.957,153.4565,2399.7522,488.1874,47.5508,3629.886,598.7609,46.0809,424.3157,1152.3138,5021.7827,802.7156,2376.301,284.3801,4365.4951,94.255
2023-05-10,11814.9971,153.0968,2353.7761,486.7386,47.5894,3582.4072,600.5593,46.1209,444.6117,1154.8124,4979.3267,807.5139,2396.7861,277.6853,4289.5469,92.7254
2023-05-11,11918.9531,153.3566,2311.2983,477.3976,47.9073,3617.8914,593.1443,45.8262,458.309,1153.813,4877.4326,816.9106,2385.2944,273.458,4336.5142,90.9659
2023-05-12,12004.917,153.7763,2332.7874,482.6942,47.1943,3532.9294,599.2397,45.5115,461.5083,1161.3085,4912.3965,815.911,2407.2788,275.5569,4350.5063,89.8362
2023-05-15,11994.9209,154.8954,2363.2712,481.3951,47.705,3536.4277,610.531,46.2208,464.2078,1159.8094,4957.8491,812.1124,2410.2766,273.0582,4331.0181,90.0062
2023-05-16,12064.8906,154.2759,2350.2781,475.6487,47.3388,3551.9207,605.2352,45.6514,467.3072,1160.8088,4911.3975,820.7093,2382.7961,270.7594,4340.0117,83.3079
2023-05-17,11918.9531,155.8346,2355.7751,478.0472,47.8688,3498.4446,602.5372,46.2457,487.9031,1139.8213,4965.3413,842.5016,2394.7878,269.1602,4312.0312,82.3182
2023-05-18,11972.9307,157.9329,2353.7761,480.2458,48.2157,3533.4287,612.4296,46.4605,490.2026,1107.3406,4930.8774,855.0972,2391.5195,268.2607,4262.4399,82.918
2023-05-19,12004.917,159.2918,2351.2776,481.0952,48.3987,3546.4231,610.3312,46.6703,484.0039,1102.3436,4943.3643,864.6937,2407.5095,266.5616,4268.4365,83.068
